2016-02-01,Ralph Smith,CYC0720,Andy La Salle,2016-02-04,2016-03-22,1
2016-02-05,Ralph Smith,SMH8891,Peri Duffy,2016-02-07,2016-03-16,1
2016-02-07,Linda Moore,FBG1062,Peri Duffy,2016-02-08,2016-02-10,1
2016-02-14,Hilary Trump,XKX1957,Nabaz Sayeed,2016-02-15,2016-09-06,1
2016-02-20,Lesley Young,AFH7245,Steve Renison,2016-02-21,2016-04-25,1
2016-02-24,Ralph Smith,TXP4069,Michael Lewis,2016-02-24,2016-03-16,1
2016-02-21,Michael Scott,MRL3058,Steve Renison,2016-02-24,2016-05-16,1
2016-02-24,Amit Oliver,FVL8648,John Martin,2016-02-25,2016-05-07,1
2016-02-26,Hilary Trump,GKY3212,Greta McLean,2016-02-27,2016-09-03,0
2016-03-05,Ralph Smith,ETV6899,John Martin,2016-03-08,2016-03-28,1
2016-03-09,Donald Clinton, err001,Philip Mitchell,2016-03-09,2016-05-29,1
2016-03-08,John English,VFY9388,Evelyn Rae,2016-03-11,2016-05-08,1
2016-03-20,Lesley Young,JBK3991,Lindsay Nelson,2016-03-21,2016-03-21,1
2016-03-20,Lesley Young,ZYF6173,Steve Renison,2016-03-21,2016-05-16,1
2016-03-25,John English,VSV3481,Peri Duffy,2016-03-28,2016-04-12,1
2016-03-28,John English,MHR6896,Peri Duffy,2016-03-28,2016-04-16,1
2016-03-26,Donald Clinton,YDV0095,Evelyn Rae,2016-03-29,2016-05-12,1
2016-03-28,Ralph Smith,BDF4913,John Martin,2016-03-30,2016-05-18,1
2016-03-29,John Richards,IWU6403,Andrew Hood,2016-04-01,2016-05-15,1
2016-04-04,Amit Oliver,BVF7686,Andrew Hood,2016-04-05,2016-06-02,1
2016-04-09,Michael Scott,RIQ9260,Robert Patrick,2016-04-09,2016-06-10,1
2016-04-12,John English,MMH2864,Andy La Salle,2016-04-15,2016-07-08,1
2016-04-16,Donald Clinton,RWT4192,Richard Cain,2016-04-18,2016-04-26,1
2016-04-18,Linda Moore,CYZ8554,Simon Frampton,2016-04-19,2016-06-30,1
2016-04-18,Ralph Smith,YBS8538,Richard Cain,2016-04-20,2016-05-09,1
2016-04-19,Ralph Smith,VZQ5362,Andy La Salle,2016-04-20,2016-06-14,1
2016-04-18,Michael Scott,CST7448,Peri Duffy,2016-04-20,2016-07-01,1
2016-04-20,Michael Scott,NWM8466,Andrew Hood,2016-04-22,2016-07-17,1
2016-04-22,John Richards,LQI3268,Karen Reid,2016-04-25,,1
2016-04-26,Ralph Smith,LFV3925,Steve Renison,2016-04-27,2016-06-14,1
2016-04-28,John English,WHU5837,Peri Duffy,2016-04-29,2016-07-08,1
2016-05-04,Michael Scott,ABR7945,Peri Duffy,2016-05-04,2016-06-04,1
2016-05-02,Donald Clinton,PLL2090,Lindsay Nelson,2016-05-05,2016-06-24,1
2016-05-14,Donald Clinton,MFO6152,Nabaz Sayeed,2016-05-16,2016-06-18,1
2016-05-23,Linda Moore, err002,Robert Patrick,2016-05-24,2016-08-24,1
2016-05-26,John Richards,TWT8902,John Martin,2016-05-27,2016-07-12,1
2016-06-04,Michael Scott,WHL2345,Evelyn Rae,2016-06-07,2016-06-09,1
2016-06-15,Lesley Young,WSU4675,Peri Duffy,2016-06-17,,1
2016-06-16,Linda Moore,OBR6693,Greta McLean,2016-06-17,2016-08-26,1
2016-06-18,Ralph Smith,DPB3234,John Martin,2016-06-20,2016-07-23,1
2016-06-19,Bill Key,YSN6005,Robert Patrick,2016-06-22,2016-09-02,1
2016-06-23,Lesley Young,FDM8849,Michael Lewis,2016-06-23,2016-09-02,1
2016-06-22,Michael Scott,FQI2958,Nabaz Sayeed,2016-06-24,2016-07-17,1
2016-06-25,Ralph Smith,AFC3291,Andy La Salle,2016-06-27,2016-07-16,1
2016-07-07,Bill Key,OJC2233,Andy La Salle,2016-07-07,2016-09-22,1
2016-07-14,John Richards,NPF7673,Andrew Hood,2016-07-17,,1
2016-07-15,Ralph Smith,ISJ1177,Karen Reid,2016-07-17,2016-09-02,1
2016-07-19,Hilary Trump,GDR6737,Andrew Hood,2016-07-20,2016-10-17,1
2016-07-21,John English,STU8856,Andy La Salle,2016-07-23,2016-07-23,1
2016-07-21,Donald Clinton, err003,Michael Lewis,2016-07-24,2016-10-16,1
2016-07-23,Michael Scott,CLZ1078,Simon Frampton,2016-07-26,2016-09-23,1
2016-07-27,John Richards,PZD7227,Peri Duffy,2016-07-27,,1
2016-08-10,Donald Clinton,CCB6831,Lindsay Nelson,2016-08-10,2016-08-24,1
2016-08-09,John English,IXF4149,Karen Reid,2016-08-12,2016-09-23,1
2016-08-11,Hilary Trump,NIV5772,Lindsay Nelson,2016-08-13,2016-10-02,1
